type,yellow,,,,,,,,
typical ,-0.255,,,,,,,,
typical ,-0.213,,,,,,,,
typical ,-0.19,,,,,,,,
typical ,-0.185,,,,,,,,
typical ,-0.045,,,,,,,,
typical ,-0.025,,,,,,,,
typical ,-0.015,,,,,,,,
typical ,0.003,,,,,,,,
typical ,0.015,,,,,,,,
typical ,0.02,,,,,,,,
typical ,0.023,,,,,,,,
typical ,0.04,,,,,,,,
typical ,0.04,,,,,,,,
typical ,0.05,,,,,,,,
typical ,0.055,,,,,,,,
typical ,0.058,,,,,,,,
odd ,-0.324,,,,,,,,
odd ,-0.185,,,,,,,,
odd ,-0.299,,,,,,,,
odd ,-0.144,,,,,,,,
odd ,-0.027,,,,,,,,
odd ,-0.039,,,,,,,,
odd ,-0.264,,,,,,,,
odd ,-0.077,,,,,,,,
odd ,-0.017,,,,,,,,
odd ,-0.169,,,,,,,,
odd ,-0.096,,,,,,,,
odd ,-0.33,,,,,,,,
odd ,-0.346,,,,,,,,
odd ,-0.191,,,,,,,,
odd ,-0.128,,,,,,,,
odd ,-0.182,,,,,,,,
